Prix,Année,Boite,Carburant,secteur,kilometrage,marque,model,nbr de portes,origine,premiére main,puissance fiscale,état,km_min,km_max,km_moyen,km_binned
155000.0,2021,Automatique,Diesel,2 Mars,95 000 - 99 999,DACIA,Duster,5.0,WW au Maroc,Non,6.0,Très bon,95000,99999,97499.5,50k-100k
75000.0,2009,Manuelle,Diesel,2 Mars,170 000 - 179 999,RENAULT,Megane 3,3.0,WW au Maroc,Non,7.0,Bon,170000,179999,174999.5,150k-200k
139000.0,2021,Manuelle,Diesel,2 Mars,100 000 - 109 999,RENAULT,Clio,3.0,WW au Maroc,Non,6.0,Très bon,100000,109999,104999.5,100k-150k
220000.0,2017,Automatique,Diesel,Maarif,180 000 - 189 999,VOLKSWAGEN,Touareg,5.0,WW au Maroc,Oui,12.0,Excellent,180000,189999,184999.5,150k-200k
275000.0,2022,Automatique,Diesel,Aïn Chock,70 000 - 74 999,HYUNDAI,Tucson,5.0,WW au Maroc,Oui,6.0,Excellent,70000,74999,72499.5,50k-100k
400000.0,2023,Automatique,Diesel,Aïn Chock,60 000 - 64 999,LAND ROVER,Range Rover Sport,3.0,WW au Maroc,Oui,12.0,Excellent,60000,64999,62499.5,50k-100k
139000.0,2024,Manuelle,Diesel,2 Mars,40 000 - 44 999,DACIA,Sandero,5.0,WW au Maroc,Oui,6.0,Excellent,40000,44999,42499.5,0-50k
115000.0,2010,Automatique,Diesel,2 Mars,200 000 - 249 999,LAND ROVER,Range Rover Sport,5.0,Dédouanée,Non,12.0,Très bon,200000,249999,224999.5,200k-300k
20000.0,1987,Manuelle,Diesel,Ain Sebaa,200 000 - 249 999,PEUGEOT,205,5.0,WW au Maroc,Non,7.0,Excellent,200000,249999,224999.5,200k-300k
397409.0909090909,2021,Automatique,Electrique,Aïn Chock,80 000 - 84 999,TESLA,Model 3,3.0,Dédouanée,Oui,8.0,Excellent,80000,84999,82499.5,50k-100k
142347.45762711865,2010,Manuelle,Diesel,2 Mars,190 000 - 199 999,TOYOTA,Corolla,5.0,WW au Maroc,Non,5.0,Bon,190000,199999,194999.5,150k-200k
250000.0,2021,Automatique,Diesel,Riviera,50 000 - 54 999,BMW,Série 4,3.0,WW au Maroc,Oui,8.0,Neuf,50000,54999,52499.5,50k-100k
330000.0,2020,Automatique,Essence,2 Mars,65 000 - 69 999,AUDI,Q5,5.0,Importée neuve,Oui,14.0,Excellent,65000,69999,67499.5,50k-100k
203577.62732919256,2018,Manuelle,Diesel,Aïn Chock,150 000 - 159 999,VOLKSWAGEN,Golf 7,5.0,Dédouanée,Oui,8.0,Excellent,150000,159999,154999.5,150k-200k
400000.0,2018,Automatique,Diesel,Californie,120 000 - 129 999,LAND ROVER,Range Rover Sport,5.0,WW au Maroc,Non,12.0,Excellent,120000,129999,124999.5,100k-150k
404829.2804878049,2023,Automatique,Diesel,Riviera,15 000 - 19 999,AUDI,Q3,5.0,WW au Maroc,Oui,8.0,Neuf,15000,19999,17499.5,0-50k
316200.0,2022,Automatique,Diesel,Belvédère,90 000 - 94 999,BMW,X5,5.0,WW au Maroc,Oui,12.0,Excellent,90000,94999,92499.5,50k-100k
87000.0,2021,Manuelle,Diesel,2 Mars,100 000 - 109 999,RENAULT,Kangoo,5.0,WW au Maroc,Oui,6.0,Très bon,100000,109999,104999.5,100k-150k
395000.0,2019,Automatique,Diesel,Californie,95 000 - 99 999,BMW,X3,5.0,WW au Maroc,Non,8.0,Excellent,95000,99999,97499.5,50k-100k
269000.0,2019,Automatique,Diesel,Aïn Diab,130 000 - 139 999,LAND ROVER,Range Rover Evoque,5.0,WW au Maroc,Non,8.0,Très bon,130000,139999,134999.5,100k-150k
58000.0,2025,Automatique,Essence,Aïn Chock,10 000 - 14 999,KIA,Picanto,5.0,WW au Maroc,Oui,6.0,Excellent,10000,14999,12499.5,0-50k
400000.0,2019,Automatique,Diesel,Maarif,110 000 - 119 999,MERCEDES-BENZ,Classe Glc,5.0,WW au Maroc,Oui,8.0,Excellent,110000,119999,114999.5,100k-150k
69999.0,1998,Automatique,Essence,Quartier des Hôpitaux,100 000 - 109 999,MERCEDES-BENZ,230,5.0,Dédouanée,Non,11.0,Très bon,100000,109999,104999.5,100k-150k
103000.0,2016,Manuelle,Essence,2 Mars,85 000 - 89 999,OPEL,Adam,3.0,WW au Maroc,Oui,8.0,Excellent,85000,89999,87499.5,50k-100k
320000.0,2018,Automatique,Diesel,Maarif,150 000 - 159 999,MERCEDES-BENZ,Classe Gle,5.0,WW au Maroc,Non,9.0,Excellent,150000,159999,154999.5,150k-200k
152000.0,2023,Manuelle,Diesel,Centre Ville,70 000 - 74 999,HYUNDAI,Accent,5.0,WW au Maroc,Oui,6.0,Très bon,70000,74999,72499.5,50k-100k
248428.57142857142,2018,Automatique,Diesel,2 Mars,140 000 - 149 999,AUDI,A8,5.0,Pas encore dédouanée,Oui,12.0,Très bon,140000,149999,144999.5,100k-150k
119000.0,2016,Manuelle,Diesel,Aïn Chock,190 000 - 199 999,SKODA,Superb,5.0,WW au Maroc,Non,8.0,Excellent,190000,199999,194999.5,150k-200k
443214.28571428574,2021,Automatique,Diesel,Mers Sultan,70 000 - 74 999,BMW,X6,5.0,WW au Maroc,Non,12.0,Très bon,70000,74999,72499.5,50k-100k
295000.0,2023,Automatique,Hybride,2 Mars,30 000 - 34 999,RENAULT,Arkana,5.0,WW au Maroc,Oui,8.0,Excellent,30000,34999,32499.5,0-50k
335000.0,2022,Automatique,Diesel,2 Mars,80 000 - 84 999,KIA,Carnival,5.0,WW au Maroc,Oui,9.0,Excellent,80000,84999,82499.5,50k-100k
158000.0,2016,Manuelle,Diesel,Autre secteur,95 000 - 99 999,NISSAN,Qashqai,5.0,WW au Maroc,Oui,6.0,Bon,95000,99999,97499.5,50k-100k
295000.0,2016,Automatique,Diesel,Californie,100 000 - 109 999,MERCEDES-BENZ,Classe Glc,5.0,WW au Maroc,Oui,9.0,Très bon,100000,109999,104999.5,100k-150k
404829.2804878049,2022,Automatique,Diesel,Maarif,55 000 - 59 999,AUDI,Q3,5.0,Importée neuve,Oui,8.0,Excellent,55000,59999,57499.5,50k-100k
100000.0,2017,Manuelle,Diesel,2 Mars,120 000 - 129 999,FORD,Fiesta,5.0,WW au Maroc,Non,6.0,Très bon,120000,129999,124999.5,100k-150k
120000.0,2021,Manuelle,Diesel,Aïn Chock,120 000 - 129 999,DACIA,Dokker,5.0,WW au Maroc,Oui,6.0,Excellent,120000,129999,124999.5,100k-150k
135000.0,2012,Automatique,Diesel,Aïn Chock,200 000 - 249 999,MERCEDES-BENZ,Classe Glk,5.0,WW au Maroc,Non,9.0,Excellent,200000,249999,224999.5,200k-300k
497279.06976744183,2015,Automatique,Essence,Mers Sultan,160 000 - 169 999,PORSCHE,Macan,5.0,WW au Maroc,Non,17.0,Excellent,160000,169999,164999.5,150k-200k
355000.0,2022,Automatique,Diesel,Bourgogne,85 000 - 89 999,LAND ROVER,Range Rover Evoque,5.0,WW au Maroc,Oui,8.0,Excellent,85000,89999,87499.5,50k-100k
360000.0,2015,Automatique,Diesel,Aïn Chock,140 000 - 149 999,PORSCHE,Cayenne,5.0,Importée neuve,Oui,12.0,Excellent,140000,149999,144999.5,100k-150k
140000.0,2023,Manuelle,Diesel,Ain Sebaa,100 000 - 109 999,CITROEN,C-Elysée,5.0,WW au Maroc,Oui,6.0,Neuf,100000,109999,104999.5,100k-150k
198000.0,2022,Automatique,Hybride,2 Mars,70 000 - 74 999,KIA,Niro,5.0,WW au Maroc,Oui,6.0,Excellent,70000,74999,72499.5,50k-100k
220000.0,2019,Automatique,Diesel,Bourgogne,120 000 - 129 999,VOLKSWAGEN,Touareg,5.0,WW au Maroc,Oui,12.0,Excellent,120000,129999,124999.5,100k-150k
160000.0,2020,Automatique,Diesel,Autre secteur,90 000 - 94 999,DACIA,Duster,5.0,WW au Maroc,Oui,6.0,Neuf,90000,94999,92499.5,50k-100k
330000.0,2021,Automatique,Diesel,Aïn Chock,50 000 - 54 999,AUDI,Q5,5.0,Dédouanée,Oui,8.0,Excellent,50000,54999,52499.5,50k-100k
510000.0,2022,Automatique,Diesel,Californie,45 000 - 49 999,BMW,X3,5.0,WW au Maroc,Oui,8.0,Très bon,45000,49999,47499.5,0-50k
